"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"INDO_6_BS",53,12.3291824820349,6.59285011477039,"Ransome_IND02_INDO06_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND02_INDO06_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"JAR_11_BS",13,2.27345538618884,1.65495039223653,"Ransome_JAR11_JAR11C_120501_150301",0,5600,153.3916854,-22.39999848,2,"Ransome_JAR11_JAR11C_120501_150301",-0.98919,-3.19631,0.76178,-2.6174,-7.54016,-5.20406,0.001872975,0,0,0,0,0,0.000312162
"JAR_4C_BS",30,8.53264441229297,6.5125720532089,"Ransome_JAR04_JAR04C_120501_150301",0,5600,153.3916854,-22.39999848,2,"Ransome_JAR04_JAR04C_120501_150301",-0.98919,-3.19631,0.76178,-2.6174,-7.54016,-5.20406,0.001872975,0,0,0,0,0,0.000312162
"JAR_8_BS",34,3.44085495049728,2.46026706886466,"Ransome_JAR08_JAR08C_120501_150301",0,5600,153.3916854,-22.39999848,2,"Ransome_JAR08_JAR08C_120501_150301",-0.999,-3.19631,0.76178,-2.6195,-7.64938,-5.25577,0.001854245,0,0,0,0,0,0.000309041
"KAU_2_BS",56,2.69990405397076,1.74556235834107,"Ransome_KAU02_KAU02A_100101_130101",0.044728435,6220,137.5416854,37.45000664,1,"Ransome_KAU02_KAU02A_100101_130101",-0.03361,-1.11262,0.3726,-0.99002,0.85675,0.22034,0.643479238,0.880149331,0.895767693,0.752875669,0,0,0.528711988
"KAU_6_BS",37,9.63667182729749,5.4860824690449,"Ransome_KAU06_KAU06A_100101_130101",0.051282051,6210,137.5416854,37.45000664,1,"Ransome_KAU06_KAU06A_100101_130101",-0.01662,-1.168,0.30798,-0.96142,1.04449,0.46181,NA,0.977490069,0.937924935,0.85240677,0.998223313,0,0.753209017
"KAU_8_BS",40,6.30477555333525,4.58412690984949,"Ransome_KAU08_KAU08A_100101_130101",0.05362776,6190,137.5416854,37.45000664,1,"Ransome_KAU08_KAU08A_100101_130101",-0.05085,-1.84674,0.36233,-0.96944,0.94668,0.2297,0.607162256,0.925205973,0.690656496,0.389534032,0,0.89779471,0.585058911
"KIN_11_BS",23,3.58832069621997,2.61032438903326,"Ransome_KIN11_KIN11C_120501_150301",0.006802721,5760,152.8416854,-21.09999837,2,"Ransome_KIN11_KIN11C_120501_150301",-0.09389,-1.54268,0.76178,-1.96303,0.98626,0.84215,0.027888595,0.434456378,0,0,0,0,0.077057496
"KIN_13A_BS",49,7.08853591806598,4.0623557359983,"Ransome_KIN13_KIN13A_120501_150301",0.006825939,5760,152.8416854,-21.09999837,2,"Ransome_KIN13_KIN13A_120501_150301",-0.14215,-2.92092,0.76178,-1.96098,0.99261,0.83114,0.027888595,0.433481683,0,0,0,0,0.076895046
"KIN_13B_BS",35,8.52966272251712,5.65174436972155,"Ransome_KIN13_KIN13B_120501_150301",0.006825939,5760,152.8416854,-21.09999837,2,"Ransome_KIN13_KIN13B_120501_150301",-0.14215,-2.92092,0.76178,-1.96098,0.99261,0.83114,0.027888595,0.433481683,0,0,0,0,0.076895046
"KIN_13C_BS",85,20.6887645703043,13.2647668820982,"Ransome_KIN13_KIN13C_120501_150301",0.006825939,5760,152.8416854,-21.09999837,2,"Ransome_KIN13_KIN13C_120501_150301",-0.14215,-2.92092,0.76178,-1.96098,0.99261,0.83114,0.027888595,0.433481683,0,0,0,0,0.076895046
"KIN_5_BS",12,1.99238509962711,1.50194502549477,"Ransome_KIN05_KIN05C_120501_150301",0.006849315,5760,152.8416854,-21.09999837,2,"Ransome_KIN05_KIN05C_120501_150301",-0.09389,-1.54268,0.76178,-1.96303,0.98626,0.84215,0.027888595,0.434456378,0,0,0,0,0.077057496
"KOA_1A_BS",67,9.76164938224806,7.24221617423662,"Ransome_KOA01_KOA01A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_KOA01_KOA01A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"KOA_2A_BS",107,25.6586533822946,17.1255085599706,"Ransome_KOA02_KOA02A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_KOA02_KOA02A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
